Time,Export Volume,Exchange rates
2010-01,4406,0.8909
2010-02,3955,0.8899
2010-03,4261,0.9159
2010-04,5478,0.9300
2010-05,5592,0.8490
2010-06,6549,0.8523
2010-07,6301,0.8986
2010-08,6781,0.8918
2010-09,5860,0.9667
2010-10,5799,0.9761
2010-11,5685,0.9618
2010-12,5922,1.0163
2011-01,4461,0.9924
2011-02,4371,1.0163
2011-03,5447,1.0334
2011-04,5744,1.0900
2011-05,6074,1.0709
2011-06,6721,1.0739
2011-07,6231,1.0954
2011-08,7275,1.0691
2011-09,6635,0.9781
2011-10,6763,1.0509
2011-11,6469,1.0021
2011-12,7203,1.0156
2012-01,6236,1.0637
2012-02,5141,1.0816
2012-03,5724,1.0402
2012-04,5819,1.0453
2012-05,5833,0.9727
2012-06,6189,1.0191
2012-07,6326,1.0526
2012-08,6098,1.0301
2012-09,5880,1.0464
2012-10,5781,1.0378
2012-11,5426,1.0431
2012-12,5891,1.0384
2013-01,5222,1.0394
2013-02,4587,1.0275
2013-03,5159,1.0426
2013-04,5090,1.0368
2013-05,5635,0.9649
2013-06,5849,0.9275
2013-07,6220,0.9037
2013-08,6030,0.8947
2013-09,5743,0.9309
2013-10,5784,0.9490
2013-11,5534,0.9087
2013-12,6660,0.8948
2014-01,6157,0.8763
2014-02,5695,0.8947
2014-03,6073,0.9221
2014-04,5723,0.9287
2014-05,5415,0.9319
2014-06,5954,0.9420
2014-07,6065,0.9324
2014-08,5730,0.9349
2014-09,5691,0.8752
2014-10,5828,0.8805
2014-11,6033,0.8491
2014-12,6147,0.8202
2015-01,5785,0.7781
2015-02,5318,0.7792
2015-03,5527,0.7634
2015-04,4699,0.7981
2015-05,4458,0.7663
2015-06,5155,0.7680
2015-07,5256,0.7294
2015-08,5578,0.7149
2015-09,5189,0.7010
2015-10,5163,0.7099
2015-11,5125,0.7189
2015-12,4995,0.7306
2016-01,4777,0.7100
2016-02,4347,0.7140
2016-03,4675,0.7657
2016-04,4335,0.7655
2016-05,4490,0.7242
2016-06,4888,0.7426
2016-07,4886,0.7522
2016-08,5288,0.7514
2016-09,5750,0.7630
2016-10,6523,0.7613
2016-11,8193,0.7474
2016-12,9550,0.7236
2017-01,7948,0.7567
2017-02,7133,0.7688
2017-03,7588,0.7644
2017-04,5411,0.7475
2017-05,8230,0.7450
2017-06,8207,0.7692
2017-07,7671,0.7987
2017-08,7618,0.7898
2017-09,7548,0.7839
2017-10,7446,0.7673
2017-11,7738,0.7585
2017-12,8611,0.7800
2018-01,9076,0.8073
2018-02,8344,0.7792
2018-03,9252,0.7665
2018-04,8575,0.7570
2018-05,9219,0.7564
2018-06,10173,0.7391
2018-07,10602,0.7431
2018-08,10875,0.7260
2018-09,10748,0.7222
2018-10,11983,0.7085
2018-11,11581,0.7316
2018-12,11841,0.7058
2019-01,11710,0.7268
2019-02,9632,0.7146
2019-03,11030,0.7087
2019-04,10263,0.7039
2019-05,10488,0.6916
2019-06,11193,0.7013
2019-07,10807,0.6894
2019-08,11022,0.6718
2019-09,10176,0.6749
2019-10,9781,0.6926
2019-11,9755,0.6777
2019-12,10385,0.7006
