Type,Value,Year,
Coal,109.10,2022,
Iron,87.85,2022,
Petrol Gas,67.33,2022,
Other,8.27,2022,
Copper,4.89,2022,
Zinc,2.21,2022,
Mg,1.39,2022,
Al,0.86,2022,
Coal,118.26,2021,
Iron,56.46,2021,
Petrol Gas,39.88,2021,
Copper,4.82,2021,
Zinc,2.01,2021,
Mg,1.36,2021,
Other,1.21,2021,
Al,1.00,2021,
Iron,80.75,2020,
Coal,37.48,2020,
Petrol Gas,27.03,2020,
Copper,3.87,2020,
Zinc,1.40,2020,
Mg,1.18,2020,
Al,1.08,2020,
Other,0.64,2020,
Iron,679.82,2019,
Coal,522.79,2019,
Petrol Gas,343.69,2019,
Copper,45.98,2019,
Zinc,16.62,2019,
Mg,15.86,2019,
Al,11.52,2019,
Other,9.76,2019,
Coal,580.94,2018,
Iron,483.86,2018,
Petrol Gas,315.75,2018,
Copper,45.12,2018,
Mg,19.32,2018,
Zinc,19.16,2018,
Other,11.96,2018,
Al,10.16,2018,
