Country,Total,Flag,Percentage,Year
Australia,130.93,https://cdn-icons-png.flaticon.com/512/197/197507.png,28.47%,2022
Brazil,42.06,https://cdn-icons-png.flaticon.com/512/197/197386.png,9.15%,2022
Canada,41.66,https://cdn-icons-png.flaticon.com/512/197/197430.png,9.06%,2022
Chile,49.37,https://cdn-icons-png.flaticon.com/512/197/197568.png,10.73%,2022
China,44.7,https://cdn-icons-png.flaticon.com/512/197/197375.png,9.72%,2022
Other,151.2,,32.88%,2022
Australia,93.48,https://cdn-icons-png.flaticon.com/512/197/197507.png,26.02%,2018
United States,46.36,https://cdn-icons-png.flaticon.com/512/197/197484.png,12.91%,2018
Germany,38.11,https://cdn-icons-png.flaticon.com/512/197/197571.png,10.61%,2018
Chile,35.34,https://cdn-icons-png.flaticon.com/512/197/197568.png,9.84%,2018
Canada,31.59,https://cdn-icons-png.flaticon.com/512/197/197430.png,8.79%,2018
Other,114.32,,31.83%,2018
Australia,102.08,https://cdn-icons-png.flaticon.com/512/197/197507.png,26.81%,2019
United States,45.8,https://cdn-icons-png.flaticon.com/512/197/197484.png,12.03%,2019
Chile,42.47,https://cdn-icons-png.flaticon.com/512/197/197568.png,11.15%,2019
Germany,39.16,https://cdn-icons-png.flaticon.com/512/197/197571.png,10.28%,2019
Brazil,33.79,https://cdn-icons-png.flaticon.com/512/197/197386.png,8.87%,2019
Other,117.45,,30.85%,2019
Australia,147.75,https://cdn-icons-png.flaticon.com/512/197/197507.png,26.57%,2020
United States,64.07,https://cdn-icons-png.flaticon.com/512/197/197484.png,11.52%,2020
Chile,58.97,https://cdn-icons-png.flaticon.com/512/197/197568.png,10.60%,2020
Brazil,55.52,https://cdn-icons-png.flaticon.com/512/197/197386.png,9.98%,2020
Germany,55.25,https://cdn-icons-png.flaticon.com/512/197/197571.png,9.93%,2020
Other,174.58,,31.39%,2020
Australia,124.53,https://cdn-icons-png.flaticon.com/512/197/197507.png,24.75%,2021
United States,63.51,https://cdn-icons-png.flaticon.com/512/197/197484.png,12.62%,2021
Germany,53.73,https://cdn-icons-png.flaticon.com/512/197/197571.png,10.68%,2021
China,53.61,https://cdn-icons-png.flaticon.com/512/197/197375.png,10.66%,2021
Chile,49.11,https://cdn-icons-png.flaticon.com/512/197/197568.png,9.76%,2021
Other,158.57,,31.52%,2021
